+----------------------------------------------------------------------+
|  OpenHands SDK v1.45.0                                               |
|                                                                      |
|  Report a bug: github.com/OpenHands/software-agent-sdk/issues        |
|  Get help: openhands.dev/joinslack                                   |
|  Scale up: openhands.dev/product/sdk                                 |
|                                                                      |
|  Set OPENHANDS_SUPPRESS_BANNER=1 to hide this message                |
+----------------------------------------------------------------------+

[92m10:29:40 - openhands:INFO[0m: server_config.py:50 - Using config class server.config.SaaSServerConfig
{"message": "Tavily API key not configured, skipping Tavily MCP proxy", "severity": "INFO", "module": "mcp_router", "funcName": "init_tavily_proxy", "lineno": 59, "ts": "2026-09-10T14:29:41.508704+00:00"}
Can't instantiate abstract class UserAuthorizerInjector without an implementation for abstract method 'inject'
{"message": "Using default UserAuthorizer", "severity": "INFO", "module": "user_authorizer", "funcName": "depends_user_authorizer", "lineno": 43, "ts": "2026-09-10T14:29:41.618280+00:00"}
{"message": "ApiKey.org lazy loading clause org.id = :param_1", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.269854+00:00"}
{"message": "ApiKey.org will use Session.get() to optimize instance loads", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 764, "ts": "2026-09-10T14:29:42.269955+00:00"}
{"message": "BillingSession.org setup primary join org.id = billing_sessions.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.270924+00:00"}
{"message": "BillingSession.org setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.270969+00:00"}
{"message": "BillingSession.org synchronize pairs [(org.id => billing_sessions.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.270991+00:00"}
{"message": "BillingSession.org secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.271002+00:00"}
{"message": "BillingSession.org local/remote pairs [(billing_sessions.org_id / org.id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.271015+00:00"}
{"message": "BillingSession.org remote columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.271034+00:00"}
{"message": "BillingSession.org local columns [billing_sessions.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.271049+00:00"}
{"message": "BillingSession.org relationship direction RelationshipDirection.MANYTOONE", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.271059+00:00"}
{"message": "BillingSession.org lazy loading clause org.id = :param_1", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.271120+00:00"}
{"message": "BillingSession.org will use Session.get() to optimize instance loads", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 764, "ts": "2026-09-10T14:29:42.271182+00:00"}
{"message": "Org.org_members setup primary join org.id = org_member.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.274288+00:00"}
{"message": "Org.org_members setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.274332+00:00"}
{"message": "Org.org_members synchronize pairs [(org.id => org_member.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.274346+00:00"}
{"message": "Org.org_members secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.274357+00:00"}
{"message": "Org.org_members local/remote pairs [(org.id / org_member.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.274368+00:00"}
{"message": "Org.org_members remote columns [org_member.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.274384+00:00"}
{"message": "Org.org_members local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.274396+00:00"}
{"message": "Org.org_members relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.274405+00:00"}
{"message": "Org.org_members lazy loading clause :param_1 = org_member.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.274449+00:00"}
{"message": "Org.current_users setup primary join org.id = \"user\".current_org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.274640+00:00"}
{"message": "Org.current_users setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.274672+00:00"}
{"message": "Org.current_users synchronize pairs [(org.id => user.current_org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.274685+00:00"}
{"message": "Org.current_users secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.274699+00:00"}
{"message": "Org.current_users local/remote pairs [(org.id / user.current_org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.274710+00:00"}
{"message": "Org.current_users remote columns [user.current_org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.274723+00:00"}
{"message": "Org.current_users local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.274735+00:00"}
{"message": "Org.current_users relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.274743+00:00"}
{"message": "Org.current_users lazy loading clause :param_1 = \"user\".current_org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.274781+00:00"}
{"message": "Org.invitations setup primary join org.id = org_invitation.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.274992+00:00"}
{"message": "Org.invitations setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.275028+00:00"}
{"message": "Org.invitations synchronize pairs [(org.id => org_invitation.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.275043+00:00"}
{"message": "Org.invitations secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.275055+00:00"}
{"message": "Org.invitations local/remote pairs [(org.id / org_invitation.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.275065+00:00"}
{"message": "Org.invitations remote columns [org_invitation.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.275078+00:00"}
{"message": "Org.invitations local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.275092+00:00"}
{"message": "Org.invitations relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.275104+00:00"}
{"message": "Org.invitations lazy loading clause :param_1 = org_invitation.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.275152+00:00"}
{"message": "Org.billing_sessions setup primary join org.id = billing_sessions.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.275324+00:00"}
{"message": "Org.billing_sessions setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.275353+00:00"}
{"message": "Org.billing_sessions synchronize pairs [(org.id => billing_sessions.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.275365+00:00"}
{"message": "Org.billing_sessions secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.275376+00:00"}
{"message": "Org.billing_sessions local/remote pairs [(org.id / billing_sessions.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.275386+00:00"}
{"message": "Org.billing_sessions remote columns [billing_sessions.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.275401+00:00"}
{"message": "Org.billing_sessions local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.275413+00:00"}
{"message": "Org.billing_sessions relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.275421+00:00"}
{"message": "Org.billing_sessions lazy loading clause :param_1 = billing_sessions.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.275467+00:00"}
{"message": "Org.stored_conversation_metadata_saas setup primary join org.id = conversation_metadata_saas.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.275632+00:00"}
{"message": "Org.stored_conversation_metadata_saas setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.275660+00:00"}
{"message": "Org.stored_conversation_metadata_saas synchronize pairs [(org.id => conversation_metadata_saas.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.275672+00:00"}
{"message": "Org.stored_conversation_metadata_saas secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.275682+00:00"}
{"message": "Org.stored_conversation_metadata_saas local/remote pairs [(org.id / conversation_metadata_saas.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.275691+00:00"}
{"message": "Org.stored_conversation_metadata_saas remote columns [conversation_metadata_saas.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.275703+00:00"}
{"message": "Org.stored_conversation_metadata_saas local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.275715+00:00"}
{"message": "Org.stored_conversation_metadata_saas relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.275724+00:00"}
{"message": "Org.stored_conversation_metadata_saas lazy loading clause :param_1 = conversation_metadata_saas.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.275758+00:00"}
{"message": "Org.user_secrets setup primary join org.id = custom_secrets.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.275917+00:00"}
{"message": "Org.user_secrets setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.275944+00:00"}
{"message": "Org.user_secrets synchronize pairs [(org.id => custom_secrets.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.275956+00:00"}
{"message": "Org.user_secrets secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.275966+00:00"}
{"message": "Org.user_secrets local/remote pairs [(org.id / custom_secrets.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.275974+00:00"}
{"message": "Org.user_secrets remote columns [custom_secrets.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.275991+00:00"}
{"message": "Org.user_secrets local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.276002+00:00"}
{"message": "Org.user_secrets relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.276010+00:00"}
{"message": "Org.user_secrets lazy loading clause :param_1 = custom_secrets.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.276043+00:00"}
{"message": "Org.api_keys setup primary join org.id = api_keys.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.276198+00:00"}
{"message": "Org.api_keys setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.276223+00:00"}
{"message": "Org.api_keys synchronize pairs [(org.id => api_keys.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.276235+00:00"}
{"message": "Org.api_keys secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.276244+00:00"}
{"message": "Org.api_keys local/remote pairs [(org.id / api_keys.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.276253+00:00"}
{"message": "Org.api_keys remote columns [api_keys.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.276265+00:00"}
{"message": "Org.api_keys local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.276276+00:00"}
{"message": "Org.api_keys relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.276284+00:00"}
{"message": "Org.api_keys lazy loading clause :param_1 = api_keys.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.276326+00:00"}
{"message": "Org.slack_conversations setup primary join org.id = slack_conversation.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.276482+00:00"}
{"message": "Org.slack_conversations setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.276510+00:00"}
{"message": "Org.slack_conversations synchronize pairs [(org.id => slack_conversation.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.276522+00:00"}
{"message": "Org.slack_conversations secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.276531+00:00"}
{"message": "Org.slack_conversations local/remote pairs [(org.id / slack_conversation.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.276540+00:00"}
{"message": "Org.slack_conversations remote columns [slack_conversation.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.276553+00:00"}
{"message": "Org.slack_conversations local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.276564+00:00"}
{"message": "Org.slack_conversations relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.276571+00:00"}
{"message": "Org.slack_conversations lazy loading clause :param_1 = slack_conversation.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.276610+00:00"}
{"message": "Org.slack_users setup primary join org.id = slack_users.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.276775+00:00"}
{"message": "Org.slack_users setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.276806+00:00"}
{"message": "Org.slack_users synchronize pairs [(org.id => slack_users.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.276817+00:00"}
{"message": "Org.slack_users secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.276827+00:00"}
{"message": "Org.slack_users local/remote pairs [(org.id / slack_users.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.276836+00:00"}
{"message": "Org.slack_users remote columns [slack_users.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.276848+00:00"}
{"message": "Org.slack_users local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.276860+00:00"}
{"message": "Org.slack_users relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.276870+00:00"}
{"message": "Org.slack_users lazy loading clause :param_1 = slack_users.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.276904+00:00"}
{"message": "Org.stripe_customers setup primary join org.id = stripe_customers.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.277060+00:00"}
{"message": "Org.stripe_customers setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.277086+00:00"}
{"message": "Org.stripe_customers synchronize pairs [(org.id => stripe_customers.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.277098+00:00"}
{"message": "Org.stripe_customers secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.277107+00:00"}
{"message": "Org.stripe_customers local/remote pairs [(org.id / stripe_customers.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.277116+00:00"}
{"message": "Org.stripe_customers remote columns [stripe_customers.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.277128+00:00"}
{"message": "Org.stripe_customers local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.277139+00:00"}
{"message": "Org.stripe_customers relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.277147+00:00"}
{"message": "Org.stripe_customers lazy loading clause :param_1 = stripe_customers.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.277180+00:00"}
{"message": "Org.git_claims setup primary join org.id = org_git_claim.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.277341+00:00"}
{"message": "Org.git_claims setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.277368+00:00"}
{"message": "Org.git_claims synchronize pairs [(org.id => org_git_claim.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.277382+00:00"}
{"message": "Org.git_claims secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.277394+00:00"}
{"message": "Org.git_claims local/remote pairs [(org.id / org_git_claim.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.277406+00:00"}
{"message": "Org.git_claims remote columns [org_git_claim.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.277419+00:00"}
{"message": "Org.git_claims local columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.277430+00:00"}
{"message": "Org.git_claims relationship direction RelationshipDirection.ONETOMANY", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.277438+00:00"}
{"message": "Org.git_claims lazy loading clause :param_1 = org_git_claim.org_id", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.277562+00:00"}
{"message": "OrgGitClaim.org setup primary join org.id = org_git_claim.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.278340+00:00"}
{"message": "OrgGitClaim.org setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.278368+00:00"}
{"message": "OrgGitClaim.org synchronize pairs [(org.id => org_git_claim.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.278381+00:00"}
{"message": "OrgGitClaim.org secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.278390+00:00"}
{"message": "OrgGitClaim.org local/remote pairs [(org_git_claim.org_id / org.id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.278399+00:00"}
{"message": "OrgGitClaim.org remote columns [org.id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2363, "ts": "2026-09-10T14:29:42.278412+00:00"}
{"message": "OrgGitClaim.org local columns [org_git_claim.org_id]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2368, "ts": "2026-09-10T14:29:42.278423+00:00"}
{"message": "OrgGitClaim.org relationship direction RelationshipDirection.MANYTOONE", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2373, "ts": "2026-09-10T14:29:42.278431+00:00"}
{"message": "OrgGitClaim.org lazy loading clause org.id = :param_1", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 738, "ts": "2026-09-10T14:29:42.278481+00:00"}
{"message": "OrgGitClaim.org will use Session.get() to optimize instance loads", "severity": "INFO", "module": "strategies", "funcName": "__init__", "lineno": 764, "ts": "2026-09-10T14:29:42.278546+00:00"}
{"message": "OrgInvitation.org setup primary join org.id = org_invitation.org_id", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2339, "ts": "2026-09-10T14:29:42.278837+00:00"}
{"message": "OrgInvitation.org setup secondary join None", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2340, "ts": "2026-09-10T14:29:42.278894+00:00"}
{"message": "OrgInvitation.org synchronize pairs [(org.id => org_invitation.org_id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2341, "ts": "2026-09-10T14:29:42.278914+00:00"}
{"message": "OrgInvitation.org secondary synchronize pairs []", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2348, "ts": "2026-09-10T14:29:42.278928+00:00"}
{"message": "OrgInvitation.org local/remote pairs [(org_invitation.org_id / org.id)]", "severity": "INFO", "module": "relationships", "funcName": "_log_joins", "lineno": 2356, "ts": "2026-09-10T14:29:42.278939+00:00"}
